event_url,title,datetime_local,city,state,country,postal_code,ticket_id,ticket_price,total_price,quantity,event_category
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-14 14:30:00,London,England,GB,SE1 3TQ,30450085,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-14 13:30:00,London,England,GB,SE1 3TQ,30450083,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-21 12:30:00,London,England,GB,SE1 3TQ,30450093,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-21 13:30:00,London,England,GB,SE1 3TQ,30450095,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-21 14:30:00,London,England,GB,SE1 3TQ,30450097,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-15 13:00:00,London,England,GB,SE1 3TQ,30450088,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-15 12:30:00,London,England,GB,SE1 3TQ,30450087,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-15 14:00:00,London,England,GB,SE1 3TQ,30450090,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-15 15:00:00,London,England,GB,SE1 3TQ,30450092,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-15 13:30:00,London,England,GB,SE1 3TQ,30450089,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-15 14:30:00,London,England,GB,SE1 3TQ,30450091,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-21 11:00:00,London,England,GB,SE1 3TQ,40567931,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-21 13:00:00,London,England,GB,SE1 3TQ,30450094,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-21 12:00:00,London,England,GB,SE1 3TQ,40567933,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-21 11:30:00,London,England,GB,SE1 3TQ,40567932,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-22 14:30:00,London,England,GB,SE1 3TQ,30450103,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-22 13:00:00,London,England,GB,SE1 3TQ,30450100,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-22 15:00:00,London,England,GB,SE1 3TQ,30450104,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-21 14:00:00,London,England,GB,SE1 3TQ,30450096,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-21 15:00:00,London,England,GB,SE1 3TQ,30450098,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-28 12:30:00,London,England,GB,SE1 3TQ,30450105,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-22 12:30:00,London,England,GB,SE1 3TQ,30450099,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-22 12:00:00,London,England,GB,SE1 3TQ,40568001,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-22 13:30:00,London,England,GB,SE1 3TQ,30450101,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-28 11:30:00,London,England,GB,SE1 3TQ,40567935,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-28 11:00:00,London,England,GB,SE1 3TQ,40567934,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-22 14:00:00,London,England,GB,SE1 3TQ,30450102,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-28 12:00:00,London,England,GB,SE1 3TQ,40567936,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-28 13:30:00,London,England,GB,SE1 3TQ,30450107,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-28 13:00:00,London,England,GB,SE1 3TQ,30450106,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-28 14:00:00,London,England,GB,SE1 3TQ,30450108,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-28 15:00:00,London,England,GB,SE1 3TQ,30450110,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-28 14:30:00,London,England,GB,SE1 3TQ,30450109,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-29 12:00:00,London,England,GB,SE1 3TQ,40568003,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-29 12:30:00,London,England,GB,SE1 3TQ,30450111,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-29 14:00:00,London,England,GB,SE1 3TQ,30450114,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-29 14:30:00,London,England,GB,SE1 3TQ,30450115,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-29 15:00:00,London,England,GB,SE1 3TQ,30450116,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-29 13:00:00,London,England,GB,SE1 3TQ,30450112,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-11-04 11:00:00,London,England,GB,SE1 3TQ,40567937,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-10-29 13:30:00,London,England,GB,SE1 3TQ,30450113,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-11-04 15:00:00,London,England,GB,SE1 3TQ,30450122,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-11-04 11:30:00,London,England,GB,SE1 3TQ,40567938,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-11-04 13:00:00,London,England,GB,SE1 3TQ,30450118,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-11-04 12:30:00,London,England,GB,SE1 3TQ,30450117,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-11-04 12:00:00,London,England,GB,SE1 3TQ,40567939,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-11-05 13:00:00,London,England,GB,SE1 3TQ,30450124,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-11-05 14:30:00,London,England,GB,SE1 3TQ,30450127,35.0,35.0,35,TASTING
https://feverup.com/m/100294,Asian Inspired Bottomless Brunch at The Last Talisman,2023-11-11 12:00:00,London,England,GB,SE1 3TQ,40567942,35.0,35.0,35,TASTING
